postcode,price
NE263HP,88390.63156
NE630BJ,69730.96322
NE716HU,83830.80528
NG146ND,86763.49681
NG164BS,94073.19033
NG166PW,66916.23167
NG163AX,63618.72597
NG163JU,83197.81595
NG199NH,66063.96888
NG197LZ,68179.42212
NG196LL,91710.2862
OL162TD,72446.72246
OL161FD,83006.73958
OL165SP,52380.2603
OL163RU,93136.39928
SR78HR,89596.04717
NG197LF,94788.77031
B347SJ,90101.07506
BB186UR,84133.97529
CF402RU,49798.54356
CT162EN,94696.98022
CW27EW,91280.63269
DY48PR,93473.92155
GL155ER,86140.06102
PR252SX,97641.64049
CF449LU,73228.92803
CF440HA,57334.94317
CF446AG,66952.34216
DL15EU,71344.23962
DN26QB,81000
GL14PB,97505.81484
HD16EQ,73463.30482
HD58BE,97961.34757
HD59HT,91462.09252
L80QU,74077.77604
LN139AF,84833.33333
ST71EN,64762.13547
TS183PX,96891.37191
WF120EB,41704.60043
WN67DR,73731.5743
BB50NR,52128.31126
CF54PP,73250.9245
DN122JQ,83911.58751
DY27JS,61419.87619
DY27QU,89280.14919
TS178DH,79910.55725
NE238DJ,85443.94564
NE237HP,86508.85308
NG24GA,92376.10601
NG21PE,80634.53502
NE250DZ,91233.48916
WS32AE,74457.13749
CV65PB,85418.28163
CV65BY,82944.08568
DN75RA,82251.01774
L47UQ,51266.47597
LL229HF,88923.34769
NE349TL,48116.44325
S739EJ,75038.56955
SK143PS,67254.0503
WS109RQ,97515.54711
DH62BL,87137.16644
DL42DR,87090.70895
L109NE,67761.55606
L107LJ,89884.07453
L277DB,77817.68436
M437EJ,98983.41266
M437PE,76320.41668
M96HA,85266.63344
M96RB,78238.49597
M90RQ,83037.64245
M94XE,49500
S50JT,78512.45789
S810PX,89440.87231
TF15BL,90377.72816
TN231RD,65492.71605
WA41PA,89804.80078
M90QN,83015.99283
S58XB,55486.75995
WF42AR,68760.2511
CH652DX,94289.02707
CM203QT,98621.22254
HD80SS,92447.65536
S207HA,89050.07774
TS123LB,87406.11046
LN58QH,84992.16165
NE331SD,76265.78838
BB23RP,53894.78504
BB24AY,51852.98785
BD228NT,90050.24306
NE650QQ,95972.15319
NG172JS,69477.6051
NG174EL,58623.7018
NG55LX,78656.57127
NG56DZ,82880.31644
OL28PA,92297.87042
S402RW,91562.46849
SR28NG,41895.61422
WA76JJ,91109.91715
OL28RY,92495.72402
BB120HX,97337.92966
BD183DX,70675.01858
BD183RN,81427.31749
CH649XJ,93733.52964
HU165HT,92762.89826
HU165DS,97334.94634
NP131DS,52544.69241
NP132DP,69213.53685
NP246BE,53328.32119
NP246ED,76084.80672
S626EQ,81028.69679
TA65RD,96749.56249
TS197LT,92102.18179
BB89JA,70398.69717
BB80HB,74523.38659
BB88HA,83127.69975
BD63PT,68490.58921
BD63SB,59789.71218
BD61UA,74594.23359
CF425RB,64207.46962
L260TR,82851.8972
S804LW,75420.58465
S802PJ,97819.72881
WS42HR,84586.8812
CF479NP,59657.45278
CF470UT,83869.89238
L362LW,65223.98554
L63BB,84543.85422
L64BQ,88983.67145
L63AW,45736.41026
LA94DH,93346.70186
NE287HE,77525.5965
NE289HE,86716.1106
NE286SQ,72598.87264
NE287JQ,48453.24505
PE304RN,87567.17412
WS28QZ,86020.11111
WS27EL,84863.89866
WV81TP,96933.02505
YO167NR,88605.4711
CW81DB,91049.05167
DN50DQ,78447.48145
FY38HW,88707.05465
OL150DX,89566.08953
S749RD,89860.79548
S748JL,86862.06566
TS273PE,96534.34168
TS43NW,75959.86622
TS43RB,88425.66092
LL652ET,79064.80409
S61JQ,94270.31814
YO84YF,86741.11979
M168GX,87000
WA80DP,82177.77284
B634DE,96671.18641
CA24AB,92562.54038
CA26ED,79577.39207
L118LS,88770.04985
LE129HE,88123.6553
NG42JH,84698.48387
NG42HR,97042.6959
NG42JE,74194.34546
NG42NF,87349.31516
TF74HP,62080.88716
B81SR,98524.63155
DL150HL,81185.70218
DL159DY,78646.75829
HX28JA,72867.53045
LA158BE,91442.55287
M230FD,93826.14717
OL70HD,73078.27202
OL79EF,88045.58819
SA152HL,88341.44827
SA152RG,84549.92091
